strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2022-05-31,2022-04-29,251,5,13.554546358642344,0.010800476860022114,0.14639556429461376,5.0,0.2826862186260355,0.8527634806935815,0.05960442301768669,0.09365689236318753,0.5595611701946108,0.19289382253312562,optimized,,False
momentum_max_sharpe,2022-06-30,2022-05-31,251,5,27.35804630376098,0.005772260083484774,0.15791775864132776,5.0,0.3655603005293941,0.8600503092981873,0.07663595852853254,0.16390439326583173,0.6914328607254254,0.26510759523262084,optimized,,False
momentum_max_sharpe,2022-07-29,2022-06-30,251,5,22.044145395998406,0.005867236925570754,0.12933822386005284,5.0,0.38768462952222693,0.81344080251985,0.08440825099587074,0.156064199059607,0.4246007990528573,0.11801734215178869,optimized,,False
momentum_max_sharpe,2022-08-31,2022-07-29,251,5,21.853811010858895,0.012835594511704554,0.28050665667080915,5.0,0.36077682368923075,0.8671009883349562,0.17843463754783634,-0.18957878376526338,0.7733118819901217,0.3981910753665626,optimized,,False
momentum_max_sharpe,2022-09-30,2022-08-31,251,5,22.56435046944474,0.02542737549469409,0.573752212180448,5.0,0.494034634217852,0.6900098189401458,0.24857582260632077,-0.27214543304971284,0.26214542627145554,0.2028556206722783,optimized,,False
momentum_max_sharpe,2022-10-31,2022-09-30,251,5,12.11963470724542,0.04375672693126773,0.5303155463916532,5.0,0.27232404516004516,0.5491886200395709,0.06857496919712117,-0.31268317406275237,0.500178093671668,0.30449262679663025,optimized,,False
momentum_max_sharpe,2022-11-30,2022-10-31,251,5,16.385155364427362,0.014065101727929115,0.23045887702859474,5.0,0.3182247749473578,0.872535957398529,0.14718773810472047,-0.23607522979043427,0.768766489637992,0.433365684550647,optimized,,False
momentum_max_sharpe,2022-12-30,2022-11-30,251,5,17.249873074248047,0.013544631207257983,0.23364316916269953,5.0,0.2902099918690371,0.8781705399176633,0.14437344041781722,-0.097578460961523,0.9411600389631976,0.41878723653903843,optimized,,False
momentum_max_sharpe,2023-01-31,2022-12-30,251,5,18.82230122691251,0.013656544721011164,0.2570475984576728,5.0,0.35391942723728687,0.8783981127844264,0.15551184738522414,-0.12688245898631845,0.878786798891033,0.4211613874570118,optimized,,False
momentum_max_sharpe,2023-02-28,2023-01-31,251,5,115.78015537851562,0.0066987923012204135,0.7755872134837034,5.0,0.6120406860501151,0.9228130176168282,0.40988111603628374,-0.5258587053224346,0.025665265178441254,0.22533090755303634,fallback_equal:optimizer_failure,,True
momentum_max_sharpe,2023-03-31,2023-02-28,251,5,33.30400604592446,0.028050461019115253,0.9341927233715833,5.0,0.5162817084114274,0.6574106326814521,0.3715387582594803,-0.29197635414559886,0.04446272106452476,0.14209523247594547,optimized,,False
momentum_max_sharpe,2023-04-28,2023-03-31,251,5,27.221399936799106,0.03886003313950625,1.0578245036477651,5.0,0.6119111477876024,0.7233772282171781,0.38130888188196754,-0.423700508641222,0.019022360586913756,0.20524876987208557,fallback_equal:optimizer_failure,,True
momentum_max_sharpe,2023-05-31,2023-04-28,251,5,36.12942890298046,0.01941141275206191,0.7013232569320287,5.0,0.5520459637472985,0.778351737936227,0.22152572765300949,0.043367467912962976,0.4059504563471281,0.1457986077624697,optimized,,False
